연번, 구분,대여소ID,대여소번호,대여소명,거치대수,위도,경도
1,강남구,ST-799,2315,2315. 봉은사역 5번출구 옆,10,37.514248,127.061119
2,강남구,ST-1174,2365,2365. K+ 타워 앞,15,37.5233,127.038475
3,강남구,ST-796,2313,2313. 금원빌딩 앞,10,37.525116,127.052467
4,강남구,ST-961,2347,2347. 두산건설 본사,15,37.518639,127.0354
5,강남구,ST-1171,2362,2362. 신사동 가로수길 입구,10,37.517635,127.022453
6,강남구,ST-793,2308,2308. 압구정파출소 앞,14,37.529301,127.035599
7,강남구,ST-959,2349,2349. 역삼빌딩 앞(하나은행 옆),10,37.501545,127.038567
8,강남구,ST-822,2341,2341. 일원역 4~5번 출구 사이,10,37.483311,127.084938
9,강남구,ST-790,2305,2305. MCM 본사 직영점 앞,10,37.520641,127.034508
10,강남구,ST-956,2360,2360. 도곡1동 주민센터 교차로,15,37.492809,127.041389
11,강남구,ST-1433,2388,2388. 강남구 도시관리공단,10,37.516785,127.051613
12,강남구,ST-787,2302,2302. 교보타워 버스정류장(신논현역 3번출구 후면),10,37.505581,127.024277
13,강남구,ST-1365,2385,2385. 학동역,10,37.51395,127.030151
14,강남구,ST-953,2354,2354. 청담역 2번출구,5,37.519787,127.056763
15,강남구,ST-817,2334,2334. 8.삼호@ 2동 ( 간선도로),15,37.493759,127.045898
16,강남구,ST-1578,2408,2408. 강남한양수자인아파트,14,37.477341,127.113274
17,강남구,ST-783,2309,2309. 청담역(우리들병원 앞),10,37.518902,127.049385
18,강남구,ST-814,2331,2331. 동영문화센터앞,20,37.498051,127.044601
19,강남구,ST-1575,2405,2405. 청담공원앞 교차로,20,37.518711,127.05085
20,강남구,ST-811,2328,2328. 르네상스 호텔 사거리 역삼지하보도 7번출구 앞,10,37.503586,127.042641
21,강남구,ST-1571,2401,2401. 밀알학교 입구 (삼성서울병원 입구),15,37.486561,127.082672
22,강남구,ST-778,2343,2343. 세곡사거리 대왕파출소 앞,10,37.465317,127.107727
23,강남구,ST-809,2326,2326. 대치동 삼성로,10,37.502396,127.0588
24,강남구,ST-806,2323,2323. 주식회사 오뚜기 정문 앞,10,37.502213,127.067207
25,강남구,ST-1184,2375,2375. 수서역 1번출구 앞,10,37.48735,127.100998
26,강남구,ST-1565,2395,2395. 개포1단지아파트 입구 (보도육교),10,37.47929,127.055733
27,강남구,ST-803,2320,2320. 도곡역 대치지구대 방향,10,37.491928,127.056969
28,강남구,ST-1180,2371,2371. 한국우편사업진흥원,10,37.514748,127.035133
29,강남구,ST-1562,2392,2392. 구룡산 입구 (구룡산 서울둘레길 입구),15,37.474579,127.05545
30,강남구,ST-1246,2381,2381. 언주역 6번출구앞,8,37.506367,127.034523
31,강남구,ST-966,2357,2357. 르네상스호텔사거리 역삼지하보도 3번출구 앞 (더 오번 빌딩 명동칼국수 앞),15,37.501949,127.04277
32,강남구,ST-1178,2369,2369. KT선릉타워,20,37.505428,127.052872
33,강남구,ST-798,2314,2314. 청담나들목입구,10,37.521275,127.061035
34,강남구,ST-963,2353,2353. 강남구청역 2번출구 뒤,10,37.516811,127.040474
35,강남구,ST-1173,2364,2364. 도산대로 렉서스 앞,10,37.52124,127.031898
