"구명","대여소ID","대여소번호","대여소명","대여소 주소","거치대수","위도","경도"
"강남구","ST-777","2301","현대고등학교 건너편","서울특별시 강남구 압구정로 134현대고등학교 건너편","10","37.524071","127.02179"
"강남구","ST-787","2302","교보타워 버스정류장(신논현역 3번출구 후면)","서울특별시 강남구 봉은사로 지하 102교보타워 버스정류장","10","37.505581","127.024277"
"강남구","ST-788","2303","논현역 7번출구","서울특별시 강남구 학동로 지하 102논현역 7번출구","15","37.511517","127.021477"
"강남구","ST-789","2304","신영 ROYAL PALACE 앞","서울특별시 강남구 언주로 626신영 ROYAL PALACE앞","10","37.512527","127.035835"
"강남구","ST-790","2305","MCM 본사 직영점 앞","서울특별시 강남구 언주로 734MCM 본사 직영점 앞","10","37.520641","127.034508"
"강남구","ST-791","2306","압구정역 2번 출구 옆","서울특별시 강남구 압구정로 지하 172압구정역 2번 출구 옆","30","37.527122","127.028717"
"강남구","ST-792","2307","압구정 한양 3차 아파트","서울특별시 강남구 압구정로 321압구정 한양 3차 아파트","10","37.528614","127.038559"
"강남구","ST-793","2308","압구정파출소 앞","서울특별시 강남구 압구정로 311압구정파출소 앞","14","37.529301","127.035599"
"강남구","ST-783","2309","청담역(우리들병원 앞)","서울특별시 강남구 학동로 443강남구 청담동 77-76 (학동로 443 앞 도로)","10","37.518902","127.049385"
"강남구","ST-794","2310","청담동 맥도날드 옆(위치)","서울특별시 강남구 학동로 지하 508청담동 맥도날드 옆","10","37.523613","127.040176"
"강남구","ST-786","2311","학동로 래미안 아파트 앞","서울특별시 강남구 학동로 지하 508학동로 래미안 아파트 앞","10","37.517773","127.043022"
"강남구","ST-795","2312","청담역 13번 출구 앞","서울특별시 강남구 영동대로 703청담역 13번 출구 앞","10","37.52058","127.056328"
"강남구","ST-796","2313","금원빌딩 앞","서울특별시 강남구 도산대로 539금원빌딩","10","37.525116","127.052467"
"강남구","ST-798","2314","청담나들목입구","서울특별시 강남구 영동대로128길 59청담나들목입구","10","37.521275","127.061035"
"강남구","ST-799","2315","봉은사역 5번출구 옆","서울특별시 강남구 봉은사로 지하 601봉은사역 5번출구 옆","10","37.514248","127.061119"
"강남구","ST-784","2317","삼성도로공원","서울특별시 강남구 영동대로112길 66삼성도로공원","10","37.515888","127.0662"
"강남구","ST-801","2318","삼성중앙역4번출구(문화센터더 리빌)","서울특별시 강남구 봉은사로 531삼성중앙역4번출구(문화센터더 라빌)","15","37.513577","127.055031"
"강남구","ST-802","2319","포스코4거리 서측(수협 삼성동 지점)","서울특별시 강남구 테헤란로 435포스코4거리 서측(수협 삼성동 지점)","10","37.506607","127.05468"
"강남구","ST-803","2320","도곡역 대치지구대 방향","서울특별시 강남구 남부순환로 지하 2814대치지구대 방향","10","37.491928","127.056969"
"강남구","ST-804","2321","학여울역 사거리","서울특별시 강남구 남부순환로 지하 3104학여울역 사거리","10","37.496117","127.069443"
"강남구","ST-805","2322","삼성역 3번 출구","서울특별시 강남구 테헤란로 534삼성역 3번 출구","15","37.508091","127.063103"
"강남구","ST-806","2323","주식회사 오뚜기 정문 앞","서울특별시 강남구 영동대로 308주식회사 오뚜기 정문 앞","10","37.502213","127.067207"
"강남구","ST-807","2324","천주교 대치 2동 교회 옆","서울특별시 강남구 도곡로 540천주교 대치 2동 교회 옆","10","37.500439","127.066223"
"강남구","ST-808","2325","대치동 버거킹대치점","서울특별시 강남구 도곡로 447대치동 버거킹대치점","10","37.49865","127.059319"
"강남구","ST-809","2326","대치동 삼성로","서울특별시 강남구 삼성로 350대치동 삼성로","10","37.502396","127.0588"
"강남구","ST-810","2327","뱅뱅사거리 랜드마크타워 앞","서울특별시 강남구 강남대로 308뱅뱅사거리 랜드마크타워 앞","15","37.490551","127.031464"
"강남구","ST-811","2328","르네상스 호텔 사거리 역삼지하보도 7번출구 앞","서울특별시 강남구 언주로 506역삼지하보도 7번출구 앞","10","37.503586","127.042641"
"강남구","ST-812","2329","르네상스호텔사거리 역삼지하보도 2번출구","서울특별시 강남구 테헤란로 지하 156역삼역 지하보도 2번출구","10","37.502357","127.04319"
"강남구","ST-813","2330","스타벅스 앞","서울특별시 강남구 도곡로 183스타벅스 앞","10","37.492199","127.039459"
"강남구","ST-814","2331","동영문화센터앞","서울특별시 강남구 언주로 337동영문화센터앞","20","37.498051","127.044601"
"강남구","ST-815","2332","선릉역3번출구","서울특별시 강남구 선릉로 435선릉역 3번출구","8","37.504208","127.048965"
