지점,일시,기온(°C),풍향(deg),풍속(m/s),강수량(mm),습도(%)
411,2018-01-01 01:00,-2,334.4,2,0,42.2
411,2018-01-01 02:00,-2.6,305.5,2,0,42.7
411,2018-01-01 03:00,-2.6,308.1,1.1,0,46.3
411,2018-01-01 04:00,-2.9,314.8,1,0,49.6
411,2018-01-01 05:00,-2.7,289.6,2.1,0,49.3
411,2018-01-01 06:00,-3.5,316.3,1.5,0,54.4
411,2018-01-01 07:00,-2.9,345.4,.8,0,50.4
411,2018-01-01 08:00,-2.8,336.7,.7,0,50.8
411,2018-01-01 09:00,-1.9,0,.2,0,49.1
411,2018-01-01 10:00,-.7,251.7,.6,0,39.7
411,2018-01-01 11:00,.1,280.6,2.1,0,31.9
411,2018-01-01 12:00,1.4,318.7,1.9,0,24
411,2018-01-01 13:00,2.2,266.1,2,0,23.3
411,2018-01-01 14:00,2.6,273,2.7,0,23.1
411,2018-01-01 15:00,2.8,274.3,3.1,0,27.5
411,2018-01-01 16:00,2.4,278.6,3.6,0,33.4
411,2018-01-01 17:00,1.3,274.1,3.5,0,36.7
411,2018-01-01 18:00,.8,278.5,3,0,37.2
411,2018-01-01 19:00,.9,281.8,.5,0,41.4
411,2018-01-01 20:00,.4,315.7,.6,0,43.3
411,2018-01-01 21:00,0,350.5,1.2,0,43.2
411,2018-01-01 22:00,0,356.2,1.1,0,41.9
411,2018-01-01 23:00,-.3,0,.1,0,48.3
411,2018-01-02 00:00,-.7,0,0,0,50.1
411,2018-01-02 01:00,-.2,244.6,1,0,52.1
411,2018-01-02 02:00,-.9,0,0,0,55.1
411,2018-01-02 03:00,-.7,0,.3,0,57.5
411,2018-01-02 04:00,-1.2,0,0,0,62.8
411,2018-01-02 05:00,-.7,0,.4,0,60.8
411,2018-01-02 06:00,-1.3,174.3,.8,0,76.3
411,2018-01-02 07:00,-2.8,299.7,1.4,0,69.9
411,2018-01-02 08:00,-2.7,321.6,1,0,69.2
411,2018-01-02 09:00,-1.9,0,.4,0,67.6
411,2018-01-02 10:00,-1.4,298.7,2.4,0,58
411,2018-01-02 11:00,-.5,303.7,3.5,0,44.4
411,2018-01-02 12:00,.8,314,2.8,0,33.3
411,2018-01-02 13:00,1.6,309.4,3,0,27
411,2018-01-02 14:00,1.7,293.2,5,0,22.9
411,2018-01-02 15:00,.9,279.9,4.8,0,26.2
411,2018-01-02 16:00,.5,295.2,4.5,0,25.8
411,2018-01-02 17:00,-.2,279.6,5.9,0,28.3
411,2018-01-02 18:00,-.7,282.5,5.5,0,26.1
411,2018-01-02 19:00,-1.3,303.9,4.3,0,32.7
411,2018-01-02 20:00,-2,302.6,4.5,0,27.9
411,2018-01-02 21:00,-2.9,307.6,3.5,0,30.3
411,2018-01-02 22:00,-3.5,310.5,4.1,0,35.6
411,2018-01-02 23:00,-4.2,311.1,5.4,0,38.3
411,2018-01-03 00:00,-4.7,302.6,3.2,0,46.3
411,2018-01-03 01:00,-5.2,318.4,2.9,0,48.2
411,2018-01-03 02:00,-5.8,321.2,3.4,0,44.2
411,2018-01-03 03:00,-6.2,316.3,3.6,0,46.9
411,2018-01-03 04:00,-6.4,340.1,2.4,0,48.7
411,2018-01-03 05:00,-6.6,315.7,3.3,0,49.9
411,2018-01-03 06:00,-6.7,304.5,3,0,47.3
411,2018-01-03 07:00,-6.8,297.5,2.7,0,50.9
411,2018-01-03 08:00,-7.1,309.4,2.6,0,54
411,2018-01-03 09:00,-6.3,306.3,3.7,0,46.6
411,2018-01-03 10:00,-5.2,318.7,2.8,0,41.9
411,2018-01-03 11:00,-3.9,320.6,3.7,0,39.3
411,2018-01-03 12:00,-3,,,0,34.7
411,2018-01-03 13:00,-3.1,273.9,4.1,0,36.2
411,2018-01-03 14:00,-2.3,267.1,4.2,0,35.7
411,2018-01-03 15:00,-1.9,279.5,3.8,0,36
411,2018-01-03 16:00,-1.8,294.8,3.3,0,36
411,2018-01-03 17:00,-3,307.6,4.1,0,39.2
411,2018-01-03 18:00,-3.5,304.5,3.8,0,41.5
411,2018-01-03 19:00,-3.8,306,4.2,0,45.5
411,2018-01-03 20:00,-4,300.9,4.5,0,46
411,2018-01-03 21:00,-4.4,308.3,4.4,0,50.8
411,2018-01-03 22:00,-5.6,305.3,4.1,0,53.6
411,2018-01-03 23:00,-6.1,319.1,3.3,0,53.5
411,2018-01-04 00:00,-6.6,310.2,2.5,0,55.5
411,2018-01-04 01:00,-6.9,308.2,2.8,0,56.4
411,2018-01-04 02:00,-7.1,304,2.3,0,56.5
411,2018-01-04 03:00,-7.1,311.4,2.2,0,53.4
411,2018-01-04 04:00,-7,305.4,2.6,0,55.4
411,2018-01-04 05:00,-7.6,320,2.9,0,55.1
411,2018-01-04 06:00,-7.5,328.6,2,0,51.6
411,2018-01-04 07:00,-8.3,318.6,3.1,0,51.7
411,2018-01-04 08:00,-8.2,313.8,1.6,0,53.3
411,2018-01-04 09:00,-7.2,308.7,1.3,0,55.1
411,2018-01-04 10:00,-5.9,289.1,1.8,0,50.3
411,2018-01-04 11:00,-5.1,253.5,1.5,0,44.7
411,2018-01-04 12:00,-3.3,257.3,1,0,40.4
411,2018-01-04 13:00,-3,270.2,1.9,0,37.4
411,2018-01-04 14:00,-1.8,334.9,1.4,0,36.5
411,2018-01-04 15:00,-2.2,275.1,1.5,0,36.5
411,2018-01-04 16:00,-2.6,280.5,1.9,0,39.5
411,2018-01-04 17:00,-2.6,301.9,.8,0,41.1
411,2018-01-04 18:00,-2.9,328.6,2.2,0,41.5
411,2018-01-04 19:00,-2.9,331.7,2.2,0,41.6
411,2018-01-04 20:00,-3.1,329,2.2,0,43.3
411,2018-01-04 21:00,-3.1,297,1,0,43.8
411,2018-01-04 22:00,-4,316.9,1.7,0,47
411,2018-01-04 23:00,-4.2,321.2,2.8,0,47.8
411,2018-01-05 00:00,-4.4,321.5,2,0,51.8
411,2018-01-05 01:00,-4.2,269,1.4,0,51.3
411,2018-01-05 02:00,-4.4,280,.7,0,52.5
411,2018-01-05 03:00,-4.9,0,0,0,54.6
411,2018-01-05 04:00,-4.8,303.5,2,0,51.9
411,2018-01-05 05:00,-4.8,290.7,1.6,0,53.6
411,2018-01-05 06:00,-5.2,301.1,1.7,0,58.5
411,2018-01-05 07:00,-4.9,262.5,.9,0,54.1
411,2018-01-05 08:00,-4.3,0,.1,0,50
411,2018-01-05 09:00,-3.6,221.2,.5,0,57
411,2018-01-05 10:00,-2.7,273.2,1,0,54.5
411,2018-01-05 11:00,-1.7,275.3,1.3,0,51
411,2018-01-05 12:00,-.6,295.9,1.9,0,49.5
411,2018-01-05 13:00,.1,291.5,2.5,0,48.7
411,2018-01-05 14:00,0,299.9,2.9,0,46.9
411,2018-01-05 15:00,.3,281.7,4.3,0,37
411,2018-01-05 16:00,-.3,286.5,3.1,0,39
411,2018-01-05 17:00,-1.5,289.8,3.3,0,46.2
411,2018-01-05 18:00,-2.3,287.9,3.6,0,47.2
411,2018-01-05 19:00,-2.5,290.6,1.9,0,48.9
411,2018-01-05 20:00,-2.4,286.9,1.7,0,48
411,2018-01-05 21:00,-2.7,290.8,2.1,0,50.3
411,2018-01-05 22:00,-2.6,288.2,2.8,0,53
411,2018-01-05 23:00,-3.6,299.9,4.4,0,53.6
411,2018-01-06 00:00,-4.2,298.1,3.8,0,53.4
411,2018-01-06 01:00,-4.6,306.7,3.7,0,58.2
411,2018-01-06 02:00,-4.9,302.5,2.7,0,59.1
411,2018-01-06 03:00,-5.4,304.7,1.6,0,64.8
411,2018-01-06 04:00,-5.8,295.3,1.8,0,68.6
411,2018-01-06 05:00,-5.2,297.5,.9,0,64.4
411,2018-01-06 06:00,-5.3,320.1,1,0,63.9
411,2018-01-06 07:00,-5.3,334.2,1.4,0,63.5
411,2018-01-06 08:00,-5.1,335,.7,0,60.6
411,2018-01-06 09:00,-4.1,322,.5,0,55.5
411,2018-01-06 10:00,-2.9,288.9,1.7,0,48.4
411,2018-01-06 11:00,-2,307.4,2.2,0,41.9
411,2018-01-06 12:00,-.7,282.6,1.7,0,37.4
411,2018-01-06 13:00,.1,269,2,0,34.1
411,2018-01-06 14:00,.6,269.2,3.3,0,33.9
411,2018-01-06 15:00,.8,289.8,2.4,0,29.9
411,2018-01-06 16:00,1.1,293.6,1.7,0,29.8
411,2018-01-06 17:00,-.2,274.6,2.6,0,35.1
411,2018-01-06 18:00,-1,305.8,2.6,0,39.8
411,2018-01-06 19:00,-1.3,297.4,1.3,0,39.9
411,2018-01-06 20:00,-1.2,289.9,1.3,0,41.9
411,2018-01-06 21:00,-1.6,0,.2,0,47.6
411,2018-01-06 22:00,-1.8,0,.1,0,51.3
411,2018-01-06 23:00,-2,346.8,1,0,49.1
411,2018-01-07 00:00,-1.5,145.7,.5,0,43.8
411,2018-01-07 01:00,-2,0,0,0,49.4
411,2018-01-07 02:00,-2.3,0,.3,0,50
411,2018-01-07 03:00,-2.3,0,.1,0,50.8
411,2018-01-07 04:00,-3,0,0,0,53.3
411,2018-01-07 05:00,-3.2,0,.2,0,51.9
411,2018-01-07 06:00,-3.3,0,.1,0,52.5
411,2018-01-07 07:00,-3.5,79.1,1.5,0,51.9
411,2018-01-07 08:00,-3.6,78.2,2.1,0,51.2
411,2018-01-07 09:00,-2.2,82.8,2.5,0,46.1
411,2018-01-07 10:00,-1.3,159.6,2,0,48.9
411,2018-01-07 11:00,.5,127.1,1.6,0,38.8
411,2018-01-07 12:00,.5,0,.3,0,40.8
411,2018-01-07 13:00,1.3,0,.2,0,38.3
411,2018-01-07 14:00,1.9,14.1,.6,0,36.6
411,2018-01-07 15:00,2.4,103.8,.8,0,36
411,2018-01-07 16:00,2.4,114,1.7,0,33.9
411,2018-01-07 17:00,2.1,125.7,1.5,0,35.2
411,2018-01-07 18:00,1.9,98.1,1.9,0,36.2
411,2018-01-07 19:00,2,0,0,0,38.3
411,2018-01-07 20:00,2,0,0,0,38.9
411,2018-01-07 21:00,1.8,0,0,0,42.2
411,2018-01-07 22:00,1.2,0,0,0,46.7
411,2018-01-07 23:00,1.1,299.4,1.5,0,46.8
411,2018-01-08 00:00,.9,0,0,0,45.9
411,2018-01-08 01:00,1.2,0,0,0,44.8
411,2018-01-08 02:00,1.5,0,0,0,45.5
411,2018-01-08 03:00,1.6,0,0,0,45.2
411,2018-01-08 04:00,.8,303.7,1.8,0,48.9
411,2018-01-08 05:00,.5,0,0,0,48.5
411,2018-01-08 06:00,.3,299.6,.8,0,48.8
411,2018-01-08 07:00,0,301.5,1.1,0,51.9
411,2018-01-08 08:00,.2,263.1,1.4,0,50.4
411,2018-01-08 09:00,.5,281.1,1.5,0,50.1
411,2018-01-08 10:00,1.1,296.6,1.4,0,48
411,2018-01-08 11:00,1.5,310,1.7,0,43.8
411,2018-01-08 12:00,2.8,280.2,1.9,0,37.9
411,2018-01-08 13:00,3.1,0,.2,0,35
411,2018-01-08 14:00,3.6,256.7,1.9,0,35.9
411,2018-01-08 15:00,4.4,0,.3,0,33.6
411,2018-01-08 16:00,3.2,220,1.4,0,39
411,2018-01-08 17:00,2,252.2,3,0,53.3
411,2018-01-08 18:00,.6,231.1,2.3,0,77
411,2018-01-08 19:00,.5,235.6,2.4,0,92.4
411,2018-01-08 20:00,1.1,284.2,4.2,0,93.2
411,2018-01-08 21:00,.6,284.7,9,0,77.3
411,2018-01-08 22:00,0,288.4,6.8,0,67.1
411,2018-01-08 23:00,-.7,285.4,6.8,0,63.1
411,2018-01-09 00:00,-1.5,280.1,6.4,0,72.3
411,2018-01-09 01:00,-2,296.2,5.8,0,70.7
411,2018-01-09 02:00,-3,285.4,5.1,0,70.9
411,2018-01-09 03:00,-3.2,280.9,5.8,0,68.2
411,2018-01-09 04:00,-4.7,305.5,6,0,63.6
411,2018-01-09 05:00,-5.2,298.2,6,0,52.5
411,2018-01-09 06:00,-5.6,299,4.4,0,55.9
411,2018-01-09 07:00,-5.5,291.1,4.1,0,60.6
411,2018-01-09 08:00,-5.8,299.6,4.6,0,67.8
411,2018-01-09 09:00,-5.7,283.3,3.1,0,65.3
411,2018-01-09 10:00,-4.7,283.2,5.1,0,60.4
411,2018-01-09 11:00,-3.6,297.8,5.4,0,54.2
411,2018-01-09 12:00,-2.9,315.5,5.4,0,51.6
411,2018-01-09 13:00,-2.3,298.5,4.4,0,49.5
411,2018-01-09 14:00,-1.6,293.1,4,0,47.6
411,2018-01-09 15:00,-1.8,289.3,5.5,0,51.5
411,2018-01-09 16:00,-2,284.5,5.9,0,55.4
411,2018-01-09 17:00,-3.3,307.9,4.8,0,67.9
411,2018-01-09 18:00,-4.1,313.6,3.6,0,60.2
411,2018-01-09 19:00,-4.7,335,1.1,0,58.4
411,2018-01-09 20:00,-4.1,1.8,.9,0,58.1
411,2018-01-09 21:00,-3.7,356.2,.8,0,56.2
411,2018-01-09 22:00,-4,315.5,.6,0,65.2
411,2018-01-09 23:00,-5.3,330.7,3.8,0,84.4
411,2018-01-10 00:00,-5.9,331.7,3.8,0,86.4
